"Format"	"EVNEW text 1.0.1"
"Created by"	"EVNEW Public Beta 1.0.2"
"Number of resources"	1719

"Resource Type"	"ID"	"Name"	"Text"	"Graphics"	"Movie File"	"Flags"	"End-of-resource"
"desc"	128	"Earth"	"The Voinian war took its toll on the Earth and its resources. Large amounts of food must now be imported from First Centauri, along with the raw materials used in the factories which cover the face of the planet, churning out weapons and ships with which to fight the Voinians."	-1	""	0x0000	"EOR"
"desc"	129	"First Centauri"	"First Centauri was both the first world set foot on and the first colonised by mankind. Today it is an important agricultural planet, supplying Earth with most of its food. First Centauri's economy is steadily expanding, as ever more colonists from Earth settle here."	-1	""	0x0000	"EOR"
"desc"	130	"Pax"	"This station, once a jumping-off point for the Voinian war effort, supposedly seals the Earth-Voinian peace treaty and forms a diplomatic and trade link between the two governments. This treaty, however, while it has - arguably - ended all-out war, has not stopped the fighting - and a great deal of that fighting happens in the space outside Pax station."	-1	""	0x0000	"EOR"
"desc"	132	"Atlantic Station"	"Specially designed ships from Atlantic station dive down into the upper atmosphere of New Atlantic, scooping up gases which are refined into hyperspace fuel at Atlantic station. New Atlantic is mankind's main source of this vital raw material."	-1	""	0x0000	"EOR"
"desc"	133	"New Prussia"	"New Prussia is a very ordinary world. Although briefly blockaded, it was for the most part untouched by the Voinian war and is neither heavily industrialised nor agriculturalised."	-1	""	0x0000	"EOR"
"desc"	134	"New Riga"	"The lucrative mines on New Riga have been the vital to the United Earth economy for almost a century now, taking the place of Earth's critically over-stretched natural resources at the critical moment. They are almost exhausted now, but occasionally a rich vein of ore is found and traders flock here."	-1	""	0x0000	"EOR"
"desc"	135	"Troon"	"A desolate world. (Well what were you expecting, a hidden alien enclave?)"	-1	""	0x0000	"EOR"
"desc"	136	"Outpost Alpha"	"Outpost Alpha is a supply base for UE warship patrols in this sector of space. Situated in a direct line between the core worlds of mankind and the Voinian Empire, Outpost Alpha takes the brunt of all Voinian offensives."	-1	""	0x0000	"EOR"
"desc"	137	"F-6129"	"Around half a century ago, this world was host to a peaceful, prosperous human colony. Then came the Voinians, devastating this world along with many others, and obliterating the colony. Amidst the chaos of the Voinian War, even the name once given to this beautiful planet was lost. Today it is located far too close to the border to be re-settled."	-1	""	0x0000	"EOR"
"desc"	138	"Outpost Gamma"	"This moon serves as a base for UE forces in this area, protecting the oft-victimised world of Verril Prime beyond. Outpost Gamma's commander, d'Erlon, is renowned for his unconventionally aggressive tactics against the Voinians. To date, however, all his gambles have paid off."	-1	""	0x0000	"EOR"
