"Format"	"EVNEW text 1.0.1"
"Created by"	"EVNEW Public Beta 1.0.2"
"Number of resources"	1032

"Resource Type"	"ID"	"Name"	"Cash"	"Ship Type"	"System 1"	"System 2"	"System 3"	"System 4"	"Government 1"	"Status 1"	"Government 2"	"Status 2"	"Government 3"	"Status 3"	"Government 4"	"Status 4"	"Combat Rating"	"Intro Pict 1"	"Intro Pict 2"	"Intro Pict 3"	"Intro Pict 4"	"Pict Delay 1"	"Pict Delay 2"	"Pict Delay 3"	"Pict Delay 4"	"Intro Text"	"On Start"	"Start Day"	"Start Month"	"Start Year"	"Date Prefix"	"Date Suffix"	"Flags"	"End-of-resource"
"char"	128	".Trader"	10000	128	128	128	128	128	-1	-1	-1	-1	-1	-1	-1	-1	0	8200	-1	-1	-1	45	-1	-1	-1	20000	""	29	4	2248	""	""	0x0001	"EOR"

"Resource Type"	"ID"	"Name"	"Width"	"Height"	"BPP"	"Icon Filename"	"Mask Filename"	"End-of-resource"
"cicn"	1000	""	8	8	4	"Cicns\\cicn1000.bmp"	"Cicns\\cicnmask1000.bmp"	"EOR"
"cicn"	1001	""	16	16	4	"Cicns\\cicn1001.bmp"	"Cicns\\cicnmask1001.bmp"	"EOR"
"cicn"	1002	""	24	24	4	"Cicns\\cicn1002.bmp"	"Cicns\\cicnmask1002.bmp"	"EOR"
"cicn"	1003	""	32	32	4	"Cicns\\cicn1003.bmp"	"Cicns\\cicnmask1003.bmp"	"EOR"
"cicn"	1004	""	40	40	4	"Cicns\\cicn1004.bmp"	"Cicns\\cicnmask1004.bmp"	"EOR"
"cicn"	1005	""	48	48	4	"Cicns\\cicn1005.bmp"	"Cicns\\cicnmask1005.bmp"	"EOR"
"cicn"	1006	""	40	40	4	"Cicns\\cicn1006.bmp"	"Cicns\\cicnmask1006.bmp"	"EOR"
"cicn"	1007	""	32	32	4	"Cicns\\cicn1007.bmp"	"Cicns\\cicnmask1007.bmp"	"EOR"
"cicn"	1008	""	8	8	4	"Cicns\\cicn1008.bmp"	"Cicns\\cicnmask1008.bmp"	"EOR"
"cicn"	1009	""	16	16	4	"Cicns\\cicn1009.bmp"	"Cicns\\cicnmask1009.bmp"	"EOR"
"cicn"	1010	""	24	24	4	"Cicns\\cicn1010.bmp"	"Cicns\\cicnmask1010.bmp"	"EOR"
"cicn"	1011	""	32	32	4	"Cicns\\cicn1011.bmp"	"Cicns\\cicnmask1011.bmp"	"EOR"
"cicn"	1012	""	40	40	4	"Cicns\\cicn1012.bmp"	"Cicns\\cicnmask1012.bmp"	"EOR"
"cicn"	1013	""	48	48	4	"Cicns\\cicn1013.bmp"	"Cicns\\cicnmask1013.bmp"	"EOR"
"cicn"	1014	""	40	40	4	"Cicns\\cicn1014.bmp"	"Cicns\\cicnmask1014.bmp"	"EOR"
"cicn"	1015	""	32	32	4	"Cicns\\cicn1015.bmp"	"Cicns\\cicnmask1015.bmp"	"EOR"

"Resource Type"	"ID"	"Name"	"X Position"	"Y Position"	"X Size"	"Y Size"	"Active On"	"On Explore"	"End-of-resource"
"nebu"	128	"Ji Nebula"	-300	-400	180	180	""	""	"EOR"
"nebu"	129	"Proxima Nebula"	15	120	180	180	""	""	"EOR"
"nebu"	130	"North Tip Asteroid belt"	10	-475	360	180	""	""	"EOR"

"Resource Type"	"ID"	"Name"	"Stellar"	"Commodity"	"Price Change"	"Duration"	"Random"	"Active On"	"End-of-resource"
"oops"	128	"Paaren station news"	-2	-1	0	30	0	"b5"	"EOR"
"oops"	129	"UE Cruiser news"	-2	-1	0	30	0	"b6"	"EOR"
"oops"	130	"Huron news"	-2	-1	0	30	0	"b12"	"EOR"
"oops"	131	"Avann offensive news"	-2	-1	0	30	0	"b13"	"EOR"
"oops"	132	"Obron offensive news"	-2	-1	0	30	0	"b14"	"EOR"
"oops"	133	"Miranu treaty news"	-2	-1	0	30	0	"b8"	"EOR"
"oops"	134	"The Rock news"	-2	-1	0	30	0	"b143"	"EOR"
"oops"	135	"NPD news"	-2	-1	0	30	0	"b159"	"EOR"
"oops"	136	"New Calcutta news"	-2	-1	0	20	0	"b169"	"EOR"
"oops"	137	"Ski Resort news"	-2	-1	0	20	0	"b147"	"EOR"
"oops"	138	"Outpost Zachit news"	-2	-1	0	25	0	"b195"	"EOR"
"oops"	139	"Council news"	-2	-1	0	50	0	"b213"	"EOR"
"oops"	140	"A recession"	377	1	-250	14	3	"!b1008"	"EOR"
"oops"	141	"A serious drought"	376	0	100	28	3	"!b1008"	"EOR"
"oops"	142	"A large quantity of skulls"	350	3	-200	14	2	"!b1008"	"EOR"
"oops"	143	"A successful raider"	344	3	500	14	2	"!b1008"	"EOR"
"oops"	144	"A Zidagar offensive"	358	2	200	14	3	"!b1008"	"EOR"
"oops"	145	"An Igadzra offensive"	324	2	200	7	4	"!b1008"	"EOR"
"oops"	146	"An enormous food surplus"	359	0	-60	14	5	"!b1008"	"EOR"
"oops"	147	"An incredible harvest"	322	0	-50	28	2	"!b1008"	"EOR"
"oops"	148	"A manufacturing surplus"	306	1	-100	7	4	"!b1008"	"EOR"
"oops"	149	"Industrial expansion"	304	1	150	14	2	"!b1008"	"EOR"
"oops"	150	"A massive brawl"	276	2	400	7	10	"!b1008"	"EOR"
"oops"	151	"A new invention"	264	5	-100	21	3	"!b1008"	"EOR"
"oops"	152	"A bizarre training accident"	238	2	400	7	4	"!b1008"	"EOR"
"oops"	153	"Decreased demand"	235	1	-200	28	1	"!b1008"	"EOR"
"oops"	154	"Increased demand"	234	5	300	28	1	"!b1008"	"EOR"
"oops"	155	"The jubilant workforce"	229	5	-150	7	3	"!b1008"	"EOR"
"oops"	156	"Constant celebration"	226	3	500	14	3	"!b1008"	"EOR"
"oops"	157	"A Voinian attack"	194	5	250	7	4	"!b1008"	"EOR"
"oops"	158	"A supply shortfall"	170	0	100	7	5	""	"EOR"
"oops"	159	"Extreme boredom"	189	3	800	14	2	""	"EOR"
"oops"	160	"Renegade extortion"	184	3	250	7	2	""	"EOR"
"oops"	161	"An excessive renegade incursion"	181	5	100	14	2	""	"EOR"
"oops"	162	"An excessive renegade incursion"	180	4	50	14	2	""	"EOR"
"oops"	163	"The tourist season"	158	3	180	21	1	""	"EOR"
"oops"	164	"A new influx of colonists"	157	0	200	14	2	""	"EOR"
"oops"	165	"A new outbreak of plague"	154	2	300	14	1	""	"EOR"
"oops"	166	"An efficiency drive"	153	1	-80	7	3	""	"EOR"
"oops"	167	"A logistical problem"	148	5	200	7	5	""	"EOR"
"oops"	168	"A major pollution scare"	128	1	120	7	2	""	"EOR"
"oops"	169	"A good harvest"	258	0	-40	14	10	"!b1008"	"EOR"
"oops"	170	"A strike by monks"	183	2	250	28	1	""	"EOR"
"oops"	171	"A shortage of Munb leaves"	240	2	300	14	2	"!b1008"	"EOR"
"oops"	172	"Toxic rainfall"	364	2	500	4	1	"!b1008"	"EOR"
"oops"	173	"A mining accident"	152	2	600	7	5	""	"EOR"
"oops"	174	"A volcanic eruption"	355	2	600	7	5	"!b1008"	"EOR"
"oops"	175	"The discovery of a new vein of ore"	134	4	-100	7	15	""	"EOR"
"oops"	176	"A bumper harvest"	129	0	-50	28	5	""	"EOR"
"oops"	177	"A Voinian offensive"	136	2	500	7	3	""	"EOR"
"oops"	178	"A Voinian offensive"	138	2	200	7	3	""	"EOR"
"oops"	179	"A Voinian offensive"	143	2	500	7	3	""	"EOR"

"Resource Type"	"ID"	"Name"	"Display Weight"	"Mass"	"Tech Level"	"Mod Type 1"	"Mod Value 1"	"Mod Type 2"	"Mod Value 2"	"Mod Type 3"	"Mod Value 3"	"Mod Type 4"	"Mod Value 4"	"Max Count"	"Cost"	"Item Class"	"Scan Mask"	"Buy Random"	"Availability"	"On Purchase"	"On Sell"	"Contribute Bits"	"Require Bits"	"Short Name"	"Lower Case Name"	"Lower Case Plural Name"	"Requirments Government"	"Flags"	"End-of-resource"
"outf"	128	"Blaze Cannon"	0	5	30	1	128	-1	-1	-1	-1	-1	-1	4	4000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Blaze Cannon"	"blaze cannon"	"blaze cannons"	-1	0x0001	"EOR"
"outf"	129	"Blaze Turret"	0	20	30	1	129	-1	-1	-1	-1	-1	-1	5	16000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Blaze Turret"	"blaze turret"	"blaze turrets"	-1	0x0003	"EOR"
"outf"	130	"Rocket Launcher"	0	30	15	1	130	-1	-1	-1	-1	-1	-1	4	16000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Rocket Launcher"	"rocket launcher"	"rocket launchers"	-1	0x0000	"EOR"
"outf"	131	"Rocket"	0	2	15	3	130	-1	-1	-1	-1	-1	-1	200	500	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Rocket"	"rocket"	"rockets"	-1	0x0000	"EOR"
"outf"	132	"H. Launcher"	0	35	10	1	131	-1	-1	-1	-1	-1	-1	2	25000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Missile Launcher"	"hunter missile launcher"	"hunter missile launchers"	-1	0x0000	"EOR"
"outf"	133	"Hunter Missile"	0	2	10	3	131	-1	-1	-1	-1	-1	-1	200	1000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Hunter Missile"	"hunter missile"	"hunter missiles"	-1	0x0000	"EOR"
"outf"	134	"Neutron Cannon"	0	15	20	1	133	-1	-1	-1	-1	-1	-1	3	40000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Neutron Cannon"	"neutron cannon"	"neutron cannons"	-1	0x0001	"EOR"
"outf"	135	"Neutron Turret"	0	30	20	1	134	-1	-1	-1	-1	-1	-1	6	80000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Neutron Turret"	"neutron turret"	"neutron turrets"	-1	0x0003	"EOR"
"outf"	136	"Voinian Fighter Bay"	0	240	32767	1	135	-1	-1	-1	-1	-1	-1	1	2500000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Voinian Fighter Bay"	"Voinian fighter bay"	"Voinian fighter bays"	-1	0x0008	"EOR"
"outf"	137	"Voinian Heavy Fighter"	0	0	25	3	135	-1	-1	-1	-1	-1	-1	4	250000	0	0x0000	100	"b4"	""	""	0x0000000000000000	0x0000000000000000	"Voinian Fighter"	"Voinian heavy fighter"	"Voinian heavy fighters"	-1	0x4000	"EOR"
"outf"	138	"UE Fighter Bay"	0	120	32767	1	132	-1	-1	-1	-1	-1	-1	1	1500000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"UE Fighter Bay"	"UE fighter bay"	"UE fighter bays"	-1	0x0008	"EOR"
"outf"	139	"UE Fighter"	0	0	10	3	132	-1	-1	-1	-1	-1	-1	5	80000	0	0x0000	100	"b2"	""	""	0x0000000000000000	0x0000000000000000	"UE Fighter"	"UE fighter"	"UE fighters"	-1	0x4000	"EOR"
"outf"	140	"Dospect Armour"	0	20	20	6	500	-1	-1	-1	-1	-1	-1	1	200000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Dospect Armour"	"layer of Dospect armour"	"layers of Dospect armour"	-1	0x0008	"EOR"
"outf"	141	"Bronev Plating"	0	60	25	6	1000	-1	-1	-1	-1	-1	-1	1	1500000	0	0x0000	100	"b4"	""	""	0x0000000000000000	0x0000000000000000	"Bronev Plating"	"layer of Bronev plating"	"layers of Bronev plating"	-1	0x4008	"EOR"
"outf"	142	"Needle Jammer"	0	0	10	33	50	34	25	35	25	-1	-1	1	50000	0	0x0000	100	"b7"	""	""	0x0000000000000000	0x0000000000000000	"Needle Jammer"	"needle jammer"	"needle jammers"	-1	0x4008	"EOR"
"outf"	143	"R. Turret"	0	45	25	1	136	-1	-1	-1	-1	-1	-1	3	160000	0	0x0000	100	"b3"	""	""	0x0000000000000000	0x0000000000000000	"Rocket Turret"	"rocket turret"	"rocket turrets"	-1	0x4003	"EOR"
"outf"	144	"Turreted Rocket"	0	2	20	3	136	-1	-1	-1	-1	-1	-1	200	1000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Turreted Rocket"	"turretted rocket"	"turretted rockets"	-1	0x0000	"EOR"
"outf"	145	"UE Cloaking Device"	0	0	32767	17	44	23	-500	-1	-1	-1	-1	1	0	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Cloaking Device"	"UE cloaking device"	"UE cloaking devices"	-1	0x0008	"EOR"
"outf"	146	"Plasma Siphon"	0	0	32767	1	139	18	40	-1	-1	-1	-1	1	500000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Plasma Siphon"	"plasma siphon"	"plasma siphons"	-1	0x000C	"EOR"
"outf"	147	"Nebula Penetration Device"	0	0	32767	24	30	23	-200	-1	-1	-1	-1	1	0	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"N.P. Device"	"nebula penetration device"	"LCPlural"	-1	0x000C	"EOR"
"outf"	148	"Krait Fighter Bay"	0	60	40	1	141	-1	-1	-1	-1	-1	-1	1	500000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Krait Bay"	"Krait fighter bay"	"Krait fighter bays"	-1	0x0008	"EOR"
"outf"	149	"Krait Fighter"	0	0	40	3	141	-1	-1	-1	-1	-1	-1	3	50000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Krait"	"Krait fighter"	"Krait fighters"	-1	0x0000	"EOR"
"outf"	150	"Mine Layer"	0	50	40	1	137	-1	-1	-1	-1	-1	-1	1	50000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Mine Layer"	"mine layer"	"mine layers"	-1	0x0000	"EOR"
"outf"	151	"Space Mine"	0	5	40	3	137	-1	-1	-1	-1	-1	-1	50	5000	0	0x0000	100	""	"511"	""	0x0000000000000000	0x0000000000000000	"Space Mine"	"space mine"	"space mines"	-1	0x0000	"EOR"
"outf"	152	"Fake Papers"	0	0	40	21	128	-1	-1	-1	-1	-1	-1	1	1000000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Fake ID"	"LCName"	"LCPlural"	-1	0x0008	"EOR"
"outf"	153	"External Fuel Tank"	0	5	1	12	100	-1	-1	-1	-1	-1	-1	2	1500	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Fuel Tank"	"external fuel tank"	"external fuel tanks"	-1	0x0000	"EOR"
"outf"	154	"Escape Pod"	0	0	1	11	1	-1	-1	-1	-1	-1	-1	1	5000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Escape Pod"	"escape pod"	"escape pods"	-1	0x0000	"EOR"
"outf"	155	"Density Scanner"	0	0	2	13	0	-1	-1	-1	-1	-1	-1	1	8000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Density Scanner"	"density scanner"	"density scanners"	-1	0x0008	"EOR"
"outf"	156	"IFF Decoder"	0	0	3	14	0	-1	-1	-1	-1	-1	-1	1	11000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"IFF Decoder"	"IFF decoder"	"IFF decoders"	-1	0x0008	"EOR"
"outf"	157	"Afterburner"	0	5	1	15	37	-1	-1	-1	-1	-1	-1	1	10000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Afterburner"	"afterburner"	"afterburners"	-1	0x0000	"EOR"
"outf"	158	"N. Launcher"	0	15	35	1	140	-1	-1	-1	-1	-1	-1	3	30000	0	0x0000	100	""	""	""	0x0000000000000000	0x0000000000000000	"Needle Launcher"	"needle launcher"	"needle launchers"	-1	0x0000	"EOR"
