"Format"	"EVNEW text 1.0.1"
"Created by"	"EVNEW Public Beta 1.0.2"
"Number of resources"	318

"Resource Type"	"ID"	"Name"	"Width"	"Height"	"Filename"	"End-of-resource"
"pict"	3000	"Shuttle"	128	64	"Picts\\pict3000.bmp"	"EOR"
"pict"	3001	"UE Freighter"	128	64	"Picts\\pict3001.bmp"	"EOR"
"pict"	3002	"UE Fighter"	128	64	"Picts\\pict3002.bmp"	"EOR"
"pict"	3003	"UE Destroyer"	128	64	"Picts\\pict3003.bmp"	"EOR"
"pict"	3004	"UE Carrier"	128	64	"Picts\\pict3004.bmp"	"EOR"
"pict"	3005	"Voinian Supply Ship"	128	64	"Picts\\pict3005.bmp"	"EOR"
"pict"	3006	"Voinian Heavy Fighter"	128	64	"Picts\\pict3006.bmp"	"EOR"
"pict"	3007	"Voinian Frigate"	128	64	"Picts\\pict3007.bmp"	"EOR"
"pict"	3008	"Voinian Cruiser"	128	64	"Picts\\pict3008.bmp"	"EOR"
"pict"	3009	"Scoutship"	128	64	"Picts\\pict3009.bmp"	"EOR"
"pict"	3010	"Freight-courier"	128	64	"Picts\\pict3010.bmp"	"EOR"
"pict"	3011	"Voinian Dreadnought"	128	64	"Picts\\pict3011.bmp"	"EOR"
"pict"	3012	"Voinian Interceptor"	128	64	"Picts\\pict3012.bmp"	"EOR"
"pict"	3013	"Krait"	128	64	"Picts\\pict3013.bmp"	"EOR"
"pict"	3014	"Turncoat"	128	64	"Picts\\pict3014.bmp"	"EOR"
"pict"	3015	"Helian"	128	64	"Picts\\pict3015.bmp"	"EOR"
"pict"	3016	"UE Cruiser"	128	64	"Picts\\pict3016.bmp"	"EOR"
"pict"	3017	"The Nadir"	128	64	"Picts\\pict3017.bmp"	"EOR"
"pict"	3018	"Miranu Courier"	128	64	"Picts\\pict3018.bmp"	"EOR"
"pict"	3019	"Miranu Freighter"	128	64	"Picts\\pict3019.bmp"	"EOR"
"pict"	3020	"Miranu Heavy Freighter"	128	64	"Picts\\pict3020.bmp"	"EOR"
"pict"	3021	"Crescent Fighter"	128	64	"Picts\\pict3021.bmp"	"EOR"
"pict"	3022	"Arada"	128	64	"Picts\\pict3022.bmp"	"EOR"
"pict"	3023	"Crescent Warship"	128	64	"Picts\\pict3023.bmp"	"EOR"
"pict"	3024	"Zidara"	128	64	"Picts\\pict3024.bmp"	"EOR"
"pict"	3025	"Azdara"	128	64	"Picts\\pict3025.bmp"	"EOR"
"pict"	3026	"Igazra"	128	64	"Picts\\pict3026.bmp"	"EOR"
"pict"	3027	"Azdgari Warship"	128	64	"Picts\\pict3027.bmp"	"EOR"
"pict"	3028	"Renegade Arada"	128	64	"Picts\\pict3028.bmp"	"EOR"
"pict"	3029	"Azdgari Arada"	128	64	"Picts\\pict3029.bmp"	"EOR"
"pict"	3030	"Zidagar Fighter"	128	64	"Picts\\pict3030.bmp"	"EOR"
"pict"	3031	"Emalgha Fighter"	128	64	"Picts\\pict3031.bmp"	"EOR"
"pict"	3032	"Emalgha Freighter"	128	64	"Picts\\pict3032.bmp"	"EOR"
"pict"	3033	"Emalgha Warship"	128	64	"Picts\\pict3033.bmp"	"EOR"
"pict"	3034	"Miranu Gunship"	128	64	"Picts\\pict3034.bmp"	"EOR"
"pict"	3035	"Merchant Arada"	128	64	"Picts\\pict3035.bmp"	"EOR"
"pict"	3036	"Igadzra Arada"	128	64	"Picts\\pict3036.bmp"	"EOR"
"pict"	3037	"Zachit Arada"	128	64	"Picts\\pict3037.bmp"	"EOR"
"pict"	3038	"Zachit Fighter"	128	64	"Picts\\pict3038.bmp"	"EOR"
"pict"	3040	"Proto Azdara"	128	64	"Picts\\pict3040.bmp"	"EOR"
"pict"	3041	"En. Azdara"	128	64	"Picts\\pict3041.bmp"	"EOR"
"pict"	3042	"En. Arada"	128	64	"Picts\\pict3042.bmp"	"EOR"
"pict"	3043	"Turncoat"	128	64	"Picts\\pict3043.bmp"	"EOR"
"pict"	3044	"Mod. Igazra"	128	64	"Picts\\pict3044.bmp"	"EOR"
"pict"	3045	"Lazira"	128	64	"Picts\\pict3045.bmp"	"EOR"
"pict"	3046	"Cargo Transporter"	128	64	"Picts\\pict3046.bmp"	"EOR"
"pict"	3063	"Escape Pod"	128	64	"Picts\\pict3063.bmp"	"EOR"
"pict"	5000	"Shuttle"	100	100	"Picts\\pict5000_2.bmp"	"EOR"
"pict"	5001	"UE Freighter"	100	100	"Picts\\pict5001.bmp"	"EOR"
"pict"	5002	"UE Fighter"	100	100	"Picts\\pict5002.bmp"	"EOR"
"pict"	5003	"UE Destroyer"	100	100	"Picts\\pict5003.bmp"	"EOR"
"pict"	5004	"UE Carrier"	100	100	"Picts\\pict5004.bmp"	"EOR"
"pict"	5005	"Voinian Supply Ship"	100	100	"Picts\\pict5005.bmp"	"EOR"
"pict"	5006	"Voinian Heavy Fighter"	100	100	"Picts\\pict5006.bmp"	"EOR"
"pict"	5007	"Voinian Frigate"	100	100	"Picts\\pict5007.bmp"	"EOR"
"pict"	5008	"Voinian Cruiser"	100	100	"Picts\\pict5008.bmp"	"EOR"
"pict"	5009	"Scoutship"	100	100	"Picts\\pict5009.bmp"	"EOR"
