"Format"	"EVNEW text 1.0.1"
"Created by"	"EVNEW 1.0.4"
"Number of resources"	1765
"Resource Type"	"ID"	"Name"	"Width"	"Height"	"Filename"	"End-of-resource"
"pict"	2066	"Habitable 1"	80	75	"Picts\\pict2000.bmp"	"EOR"
"pict"	2101	"Generic Planet Mask"	80	75	"Picts\\pict2035.bmp"	"EOR"
"pict"	2067	"Habitable 2"	80	75	"Picts\\pict2001.bmp"	"EOR"
"pict"	2068	"Habitable 3"	80	75	"Picts\\pict2002.bmp"	"EOR"
"pict"	2109	"Old Mask"	80	75	"Picts\\pict2043.bmp"	"EOR"
"pict"	2069	"Habitable 4"	80	75	"Picts\\pict2003.bmp"	"EOR"
"pict"	2070	"Habitable 5"	80	75	"Picts\\pict2004.bmp"	"EOR"
"pict"	2071	"Habitable 6"	80	75	"Picts\\pict2005.bmp"	"EOR"
"pict"	2072	"Island 1"	80	75	"Picts\\pict2006.bmp"	"EOR"
"pict"	2073	"Island 2"	80	75	"Picts\\pict2007.bmp"	"EOR"
"pict"	2074	"Island 3"	80	75	"Picts\\pict2008.bmp"	"EOR"
"pict"	2075	"Mud 1"	80	75	"Picts\\pict2009.bmp"	"EOR"
"pict"	2076	"Desert 1"	80	75	"Picts\\pict2010.bmp"	"EOR"
"pict"	2077	"Desert 2"	80	75	"Picts\\pict2011.bmp"	"EOR"
"pict"	2078	"Ice 1"	80	75	"Picts\\pict2012.bmp"	"EOR"
"pict"	2079	"Ice 2"	80	75	"Picts\\pict2013.bmp"	"EOR"
"pict"	2080	"Weird 1"	80	75	"Picts\\pict2014.bmp"	"EOR"
"pict"	2081	"Weird 2"	80	75	"Picts\\pict2015.bmp"	"EOR"
"pict"	2082	"RA (old)"	80	75	"Picts\\pict2016.bmp"	"EOR"
"pict"	2107	"Old Mask"	80	75	"Picts\\pict2041.bmp"	"EOR"
"pict"	2083	"GA (old)"	80	75	"Picts\\pict2017.bmp"	"EOR"
"pict"	2108	"Old Mask"	80	75	"Picts\\pict2042.bmp"	"EOR"
"pict"	2084	"BA (old)"	80	75	"Picts\\pict2018.bmp"	"EOR"
"pict"	2085	"Martian 1"	80	75	"Picts\\pict2019.bmp"	"EOR"
"pict"	2086	"Martian 2"	80	75	"Picts\\pict2020.bmp"	"EOR"
"pict"	2087	"Barren 1"	80	75	"Picts\\pict2021.bmp"	"EOR"
"pict"	2088	"Barren 2"	80	75	"Picts\\pict2022.bmp"	"EOR"
"pict"	2089	"Ringed (old)"	80	75	"Picts\\pict2023.bmp"	"EOR"
"pict"	2110	"Ringed Mask"	80	75	"Picts\\pict2044.bmp"	"EOR"
"pict"	2090	"UE Single docking-ring"	48	48	"Picts\\pict2024.bmp"	"EOR"
"pict"	2102	""	48	48	"Picts\\pict2036.bmp"	"EOR"
"pict"	2091	"UE Twin docking-ring"	48	48	"Picts\\pict2025.bmp"	"EOR"
"pict"	2103	""	48	48	"Picts\\pict2037.bmp"	"EOR"
"pict"	2092	"Crescent Station"	56	56	"Picts\\pict2026.bmp"	"EOR"
"pict"	2104	""	56	56	"Picts\\pict2038.bmp"	"EOR"
"pict"	2093	"Voinian Station"	56	56	"Picts\\pict2027.bmp"	"EOR"
"pict"	2105	""	56	56	"Picts\\pict2039.bmp"	"EOR"
"pict"	2094	"Barren Moon"	24	24	"Picts\\pict2028.bmp"	"EOR"
"pict"	2106	"Generic Moon Mask"	24	24	"Picts\\pict2040.bmp"	"EOR"
"pict"	2095	"Habitable Moon 1"	24	24	"Picts\\pict2029.bmp"	"EOR"
"pict"	2096	"Habitable Moon 2"	24	24	"Picts\\pict2030.bmp"	"EOR"
"pict"	2097	"Island Moon"	24	24	"Picts\\pict2031.bmp"	"EOR"
"pict"	2098	"Mud Moon"	24	24	"Picts\\pict2032.bmp"	"EOR"
"pict"	2099	"Martian Moon"	24	24	"Picts\\pict2033.bmp"	"EOR"
"pict"	2100	"The Rock"	56	56	"Picts\\pict2034.bmp"	"EOR"
"pict"	2111	"Rock Mask"	56	56	"Picts\\pict2045.bmp"	"EOR"
"pict"	2112	"Miranu Station"	48	48	"Picts\\pict2046.bmp"	"EOR"
"pict"	2113	""	48	48	"Picts\\pict2047.bmp"	"EOR"
"pict"	6215	"Blaze Cannon"	100	100	"Picts\\pict6000.bmp"	"EOR"
"pict"	6216	"Blaze Turret"	100	100	"Picts\\pict6001.bmp"	"EOR"
"pict"	6221	"Rocket Launcher"	100	100	"Picts\\pict6002.bmp"	"EOR"
"pict"	6222	"Rocket"	100	100	"Picts\\pict6003.bmp"	"EOR"
"pict"	6223	"Hunter Missile Launcher"	100	100	"Picts\\pict6004.bmp"	"EOR"
"pict"	6224	"Hunter Missile"	100	100	"Picts\\pict6005.bmp"	"EOR"
"pict"	6225	"Neutron Cannon"	100	100	"Picts\\pict6006.bmp"	"EOR"
"pict"	6226	"Neutron Turret"	100	100	"Picts\\pict6007.bmp"	"EOR"
"pict"	6228	"Voinian Heavy Fighter"	100	100	"Picts\\pict6009.bmp"	"EOR"
"pict"	6237	"UE Fighter"	100	100	"Picts\\pict6011.bmp"	"EOR"
"pict"	6238	"Dospect Armour"	100	100	"Picts\\pict6012.bmp"	"EOR"
"pict"	6239	"Bronev Plating"	100	100	"Picts\\pict6013.bmp"	"EOR"
"pict"	6240	"Needle Jammer"	100	100	"Picts\\pict6014.bmp"	"EOR"
"pict"	6241	"Rocket Turret"	100	100	"Picts\\pict6015.bmp"	"EOR"
"pict"	6242	"Turreted Rocket"	100	100	"Picts\\pict6016.bmp"	"EOR"
"pict"	6251	"Krait Bay"	100	100	"Picts\\pict6020.bmp"	"EOR"
"pict"	6252	"Krait"	100	100	"Picts\\pict6021.bmp"	"EOR"
"pict"	6253	"Mine Layer"	100	100	"Picts\\pict6022.bmp"	"EOR"
"pict"	6254	"Space Mine"	100	100	"Picts\\pict6023.bmp"	"EOR"
"pict"	6255	"Fake ID"	100	100	"Picts\\pict6024.bmp"	"EOR"
"pict"	6256	"Fuel Tank"	100	100	"Picts\\pict6025.bmp"	"EOR"
"pict"	6257	"Escape Pod"	100	100	"Picts\\pict6026.bmp"	"EOR"
"pict"	6258	"Density Scanner"	100	100	"Picts\\pict6027.bmp"	"EOR"
"pict"	6259	"IFF Decoder"	100	100	"Picts\\pict6028.bmp"	"EOR"
"pict"	6260	"Afterburner"	100	100	"Picts\\pict6029.bmp"	"EOR"
"pict"	6261	"Needle Missile Launcher"	100	100	"Picts\\pict6030.bmp"	"EOR"
"pict"	6262	"Needle Missile"	100	100	"Picts\\pict6031.bmp"	"EOR"
"pict"	6263	"Sensor Upgrade"	100	100	"Picts\\pict6032.bmp"	"EOR"
